id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
15,1,0,11.95,25,0.14,0,8.4,2.3,0,0
23,1,0,8.91,16,0.0,0,13.7,0.9,0,1
56,1,1,11.94,32,1.38,0,69.4,4.0,0,0
71,0,0,8.96,18,0.0,0,21.3,2.0,0,1
166,1,1,8.44,17,0.0,0,9.9,1.1,0,1
174,1,1,11.93,10,1.28,0,10.6,0.6,0,0
270,0,0,6.97,23,0.28,0,0.0,0.0,0,1
288,1,1,11.93,18,1.8,0,1.0,0.0,0,0
291,1,0,11.93,22,0.01,1,10.6,2.4,0,0
507,1,1,11.93,65,0.21,0,116.8,12.1,0,0
682,1,0,10.93,63,0.0,0,38.1,7.9,0,1
861,1,0,11.93,45,1.83,0,70.3,9.7,0,0
977,1,1,11.93,16,1.82,0,19.4,1.9,0,0
1075,1,1,11.93,23,1.85,0,17.5,5.9,0,0
1266,1,1,11.93,16,1.56,0,28.3,2.1,0,0
1296,1,0,6.79,17,0.45,0,0.0,0.0,0,1
1492,1,1,11.93,20,1.8,1,62.6,5.2,0,0
1517,1,0,11.93,37,0.44,0,26.5,2.2,0,0
1522,1,1,11.93,10,1.21,0,10.1,0.3,0,0
1662,1,1,11.93,21,0.21,0,48.2,2.9,0,0
1744,1,1,8.19,14,0.0,4,11.5,2.0,0,1
1783,0,0,11.93,69,0.52,1,584.6,21.3,0,0
1810,1,1,11.93,40,1.1,0,446.2,8.9,0,0
1893,1,1,8.38,46,0.0,0,10.8,0.9,0,1
1901,0,0,8.25,50,0.0,1,95.1,7.0,0,1
1917,1,1,11.93,10,1.2,0,26.7,2.6,0,0
1950,1,1,11.93,15,1.66,0,2.8,0.2,0,0
1975,1,0,11.93,30,0.97,0,168.6,15.6,0,0
2334,1,0,10.55,22,0.0,0,5.0,0.4,0,1
2567,1,1,11.93,59,0.46,0,78.2,36.4,0,0
2733,1,0,11.93,25,0.04,0,24.6,3.5,0,0
2781,1,1,11.93,15,1.26,0,7.1,0.9,0,0
2839,1,1,11.93,21,1.74,0,111.9,6.6,0,0
2926,1,1,11.93,34,1.68,2,265.7,18.4,0,0
3086,1,1,11.93,17,1.77,0,14.1,1.0,0,0
3133,1,0,11.93,21,0.12,0,107.3,2.7,0,0
3210,1,1,11.93,15,1.65,0,5.2,0.2,0,0
3410,1,1,11.93,15,1.32,1,68.8,3.9,0,0
3433,0,0,6.92,21,0.33,1,0.0,0.0,0,1
3455,1,1,11.93,48,1.01,1,113.2,7.6,0,0
3476,1,0,8.95,42,0.0,0,37.6,5.6,0,1
3488,1,0,11.93,22,1.06,0,11.4,0.5,0,0
3793,0,0,5.43,18,0.0,0,0.0,0.0,0,1
3926,1,1,11.06,22,0.0,0,7.1,0.8,0,1
4045,0,0,6.41,21,0.0,0,0.0,0.0,0,1
4389,1,1,11.93,19,1.88,0,52.4,2.2,0,0
4781,1,1,11.92,10,1.26,0,23.6,1.7,0,0
4785,1,1,11.92,32,0.99,0,0.0,0.0,0,0
5338,1,1,11.92,24,1.01,0,36.7,1.9,0,0
5422,1,1,11.92,16,1.79,0,34.2,2.3,0,0
5636,0,0,8.55,14,0.0,0,14.4,0.8,3,1
5721,1,0,11.92,21,0.33,0,31.4,5.0,0,0
5786,1,0,11.92,19,1.78,1,30.3,1.3,0,0
5872,1,0,11.92,21,1.93,1,125.2,6.6,0,0
6034,0,0,8.32,12,0.0,0,4.9,0.6,0,1
6149,1,0,11.92,22,1.16,0,19.5,2.0,0,0
6171,1,1,12.76,10,0.57,0,22.3,4.4,0,1
6191,0,0,7.47,24,0.0,0,7.5,1.5,0,1
6194,1,1,11.92,17,1.95,0,7.3,0.8,0,0
6202,0,0,5.37,15,1.86,0,0.0,0.0,0,1
6223,1,1,11.92,29,0.23,0,16.1,1.0,0,0
6231,1,1,11.92,20,0.37,0,134.6,7.3,0,0
6283,1,1,11.92,22,1.96,0,62.2,5.1,0,0
6347,0,0,11.92,66,0.01,0,370.4,14.8,0,0
6372,1,0,9.45,26,0.0,0,11.0,2.6,0,1
6390,1,0,11.92,25,0.21,0,1.9,0.1,0,0
6492,1,0,11.42,22,0.0,0,15.5,1.2,0,1
6556,1,0,8.55,20,0.0,2,30.8,2.6,0,1
6617,1,1,11.13,17,0.0,1,2.5,0.1,0,1
6640,1,0,11.92,22,0.07,0,64.1,7.1,0,0
6777,1,1,10.8,21,0.0,0,8.0,1.3,0,1
6846,1,1,11.92,71,1.16,0,86.3,2.9,0,0
6851,1,0,11.92,22,1.44,0,70.2,2.5,0,0
6956,0,0,5.64,20,0.0,1,0.0,0.0,0,1
7057,1,1,11.92,20,0.46,0,105.7,7.9,0,0
7115,1,1,11.92,65,0.15,0,22.5,1.0,0,0
7358,1,0,11.92,21,0.49,0,33.5,11.2,0,0
7369,0,0,6.7,23,0.53,4,0.0,0.0,0,1
7392,0,0,11.92,25,0.21,1,22.0,0.8,0,0
7428,1,1,11.92,19,1.78,2,62.7,5.7,0,0
7560,1,0,11.91,22,1.28,0,35.8,2.1,0,0
7592,0,0,5.84,15,0.0,2,0.0,0.0,0,1
7690,0,0,8.44,19,0.0,0,1.7,0.3,0,1
7695,1,0,11.91,20,1.3,1,34.2,5.1,0,0
7714,1,1,11.91,10,1.13,0,7.5,1.1,0,0
7830,1,0,10.75,6,0.0,0,23.4,1.9,0,1
7953,1,0,9.46,25,0.0,0,34.0,2.3,0,1
7967,1,0,11.05,30,0.0,0,115.1,7.0,0,1
7994,1,1,11.8,22,1.17,0,51.4,6.5,0,0
8006,1,1,11.8,25,1.68,0,51.6,5.1,0,0
8058,1,1,11.79,20,0.54,0,56.4,5.4,0,0
8109,1,0,10.69,40,0.49,1,611.9,54.7,0,1
